"ACCESSION_NUMBER","SUBMISSION_TYPE","FILING_DATE","CIK","FILE_NUMBER","PERIOD","ISAMENDMENT","PROGRESSUPDATE","NATUREOFAMENDMENT","NAMEOFISSUER","LEGALSTATUSFORM","LEGALSTATUSOTHERDESC","JURISDICTIONORGANIZATION","DATEINCORPORATION","STREET1","STREET2","CITY","STATEORCOUNTRY","ZIPCODE","ISSUERWEBSITE","COMPANYNAME","COMMISSIONCIK","COMMISSIONFILENUMBER","CRDNUMBER"
"0000732935-21-000001","C",20210121,732935,"020-27489",NA,0,"","","Here To Serve Holding Corp","Corporation","","DE","1983-09-22","1111 ALDERMAN DRIVE, SUITE 210","","ALPHARETTA","GA","30005","www.heretoserve.tech","truCrowd, Inc",1667145,"007-00015",283063
"0000897069-21-000320","C",20210707,1798341,"020-28350",NA,0,"","","Amplio.ai, Inc.","Corporation","","DE","2018-04-25","43877 PARAMOUNT PL.","","CHANTILLY","VA","20152","www.amplio.ai","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001017386-21-000407","C",20210920,723533,"020-28796",NA,0,"","","Longwen Group Corp.","Corporation","","NV","2005-11-17","7325 Oswego Road","","Liverpool","NY","13090","www.nationalprobrands.com","truCrowd",1667145,"007-00015",283063
"0001017386-21-000417","C",20210924,1663038,"020-28815",NA,0,"","","Reliant Service Inc","Corporation","","NV","2015-03-20","15826 111th Ave","","Edmonton, Alberta Canada","CA","T5M-2R8","www.homelandtransport.co","truCrowd",1667145,"007-00015",283063
"0001017386-21-000420","C",20210924,717588,"020-28817",NA,0,"","","China Solar & Clean Energy Solutions, Inc.","Corporation","","NV","1983-03-21","2 Valley View Drive","","Avon","NY","14414","www.csol.pro","truCrowd",1667145,"007-00015",283063
"0001017386-21-000429","C",20210927,1377469,"020-28828",NA,0,"","","PEGASUS TEL, INC.","Corporation","","DE","2002-02-19","Bloemendaalseweg, 69","","Bloemendaalseweg, Netherlands","P7","2061","pegasus-tel.com","truCrowd",1667145,"007-00015",283063
"0001017386-22-000427","C",20220923,1377469,"020-30965",NA,0,"","","PEGASUS TEL, INC.","Corporation","","DE","2002-02-19","BLOEMENDALLSEWEG 69, 2061 CC","SUITE 707","BLOEMENDAALSEWEG, NETHERLANDS","P7","2061","pegasus-tel.com","truCrowd",1667145,"007-00015",283063
"0001017386-22-000430","C",20220923,717588,"020-30979",NA,0,"","","China Solar & Clean Energy Solutions, Inc.","Corporation","","NV","1983-03-21","2 VALLEY VIEW DRIVE","SUITE 2000","AVON","NY","14414","www.csol.pro","truCrowd",1667145,"007-00015",283063
"0001031744-22-000002","C",20220601,1031744,"020-30270",NA,0,"","","WORLD WIRELESS COMMUNICATIONS INC","Corporation","","NV","1995-11-15","5670 GREENWOOD PLAZA BLVD","SUITE 340","ENGLEWOOD","CO","80111","www.wwrlmerger.com","truCrowd, Inc",1667145,"007-00015",283063
"0001036148-21-000003","C",20211202,1036148,"020-29300",NA,0,"","","NW Tech Capital, Inc.","Corporation","","NV","1996-06-13","375 N STEPHANIE ST","STE 1411","HENDERSON","NV","89014","https://www.nwtechcapital.us/investor","truCrowd, Inc",1667145,"007-00015",283063
"0001062993-16-011751","C",20161017,1683543,"020-23030",NA,0,"","","Mardi Gras A Musical, LLC","Limited Liability Company",NA,"MA","2016-07-20","88 HOLTEN STREET","","DANVERS","MA","01923","Issuer has no website - crowdfunding portal is http://openingnightcapital.com/","OPENING NIGHT CAPITAL, LLC",1554727,"008-69132",165034
"0001062993-21-003416","C",20210405,1847124,"020-27893",NA,0,"","","Arlene, Inc.","Corporation","","DE","2017-01-23","2808 Concordia Drive","","Erie","PA","16506","https://arlene.io/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001062993-21-003569","C",20210412,1811447,"020-27928",NA,0,"","","FT1 Inc.","Corporation","","NY","2019-07-24","2009 DECKER AVE","","MERRICK","NY","11566","https://fundthefirst.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001062993-21-003673","C",20210416,1650200,"020-27950",NA,0,"","","ALPHAFLOW INC.","Corporation","","DE","2015-05-19","2269 CHESTNUT STREET","#267","SAN FRANCISCO","CA","94123","http://www.alphaflow.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001062993-21-003690","C",20210416,1848230,"020-27951",NA,0,"","","Season Three Inc.","Corporation","","DE","2018-04-23","649 MORGAN AVENUE","1R2","BROOKLYN","NY","11222","https://www.seasonthree.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001079973-22-000882","C",20220725,1937536,"020-30574",NA,0,"","","Paladin Power Inc.","Corporation","","NV","2022-04-21","27689 State Hwy 74","","Perris","CA","92570","www.paladinpower.com","Equifund Crowd Funding Portal Inc.",1705665,"007-00115",288900
"0001080368-21-000027","C",20210723,1873910,"020-28442",NA,0,"","","Vernafund CF LLC","Limited Liability Company","","DE","2021-06-14","3767 ROCKDALE DR.","","DALLAS","TX","75220","https://theapartmentqueen.investnext.com/portal/capital_raise/435/","MiTec, PBC",1690300,"007-00133",292759
"0001091818-21-000126","C",20210927,1089104,"020-28835",NA,0,"","","QUEST OIL CORP","Corporation","","WY","2021-04-22","19 Baldwin Path","","Deer Park","NY","11729","www.questoil.net","truCrowd, Inc",1667145,"007-00015",283063
"0001091818-22-000138","C",20220923,1089104,"020-30975",NA,0,"","","QUEST OIL CORP","Corporation","","WY","2021-04-22","19 BALDWIN PATH","BLDG. #12, SUITE #100","DEER PARK","NY","11729","www.questoil.net","truCrowd, Inc",1667145,"007-00015",283063
"0001096906-21-000148","C",20210127,1823386,"020-27525",NA,0,"","","DeRosa Capital 11, LLC","Limited Liability Company","","NC","2020-07-10","354 S. BROAD ST.","","TRENTON","NJ","08608","https://www.derosagroup.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001096906-21-001338","C",20210604,1817193,"020-28198",NA,0,"","","Merati Homes, LLC","Corporation","","UT","2019-01-19","30 W 60TH STREET 10H","","NEW YORK CITY","NY","10023","www.meratihomes.com","Fundme.com, Inc.",1683485,"007-00078",NA
"0001096906-22-000287","C",20220209,1735613,"020-29671",NA,0,"","","QUANTM.ONE INC","Corporation","","DE","2017-12-18","5 UPPER NEWPORT PLAZA","","NEWPORT BEACH","CA","92660","www.quantmre.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001096906-22-001011","C",20220502,1925263,"020-30102",NA,0,"","","VUE Corp.","Corporation","","DE","2019-04-10","810 7TH STREET NE","","WASHINGTON D.C.","DC","20002","www.vuexo.com","ENTORO SECURITIES, LLC",914873,"008-46630",35192
"0001096906-22-002052","C",20220830,1873910,"020-30831",NA,0,"","","Vernafund CF LLC","Limited Liability Company","","DE","2021-06-14","16192 COASTAL HWY","","LEWES","DE","19958","theapartmentqueen.com","Silicon Prairie Online LLC",1711770,"007-00123",289746
"0001096906-22-002138","C",20220906,1937970,"020-30859",NA,0,"","","ITerum Energy Co","Corporation","","NV","2011-05-23","1400 SOUTH STREET","SUITE 500","LAS VEGAS","NV","89101","https://www.iterumenergy.com","CASTLE PLACEMENT, LLC",1638202,"008-69612",189511
"0001099910-22-000018","C",20220121,1905610,"020-29565",NA,0,"","","Navarrete Hospitality Group","Limited Liability Company","","TX","2021-05-21","3003 Memorial Ct. #1343","","Houston,","TX","77007","www.nhgrestaurants.com","Silicon Prairie Online LLC",1711770,"007-00123",289746
"0001104659-19-055034","C",20191021,1674163,"020-25759",NA,0,"","","Legion M Entertainment, Inc.","Corporation","","DE","2016-03-04","1801 CENTURY PARK EAST 24TH FLOOR","","LOS ANGELES","CA","90067","http://www.legionm.com","Wefunder Portal LLC",1670254,"007-00033",283503
"0001104659-19-070041","C",20191205,1661779,"020-25905",NA,0,"","","STARTENGINE CROWDFUNDING, INC.","Corporation","","DE","2014-03-19","8687 MELROSE AVE","7TH FLOOR (GREEN BUILDING)","WEST HOLLYWOOD","CA","90069","www.startengine.com","truCrowd",1667145,"007-00015",283063
"0001104659-20-032595","C",20200312,1661779,"020-26229",NA,0,"","","STARTENGINE CROWDFUNDING, INC.","Corporation","","DE","2014-03-19","8687 MELROSE AVE","7TH FLOOR (GREEN BUILDING)","WEST HOLLYWOOD","CA","90069","www.startengine.com","truCrowd",1667145,"007-00015",283063
"0001104659-20-054505","C",20200430,1661779,"020-26359",NA,0,"","","STARTENGINE CROWDFUNDING, INC.","Corporation","","DE","2014-03-19","8687 MELROSE AVE","7TH FLOOR (GREEN BUILDING)","WEST HOLLYWOOD","CA","90069","www.startengine.com","truCrowd",1667145,"007-00015",283063
"0001104659-20-090333","C",20200804,1674163,"020-26740",NA,0,"","","Legion M Entertainment, Inc.","Corporation","","DE","2016-03-04","1801 CENTURY PARK EAST 24TH FLOOR","","LOS ANGELES","CA","90067","http://www.legionm.com","Wefunder Portal LLC",1670254,"007-00033",283503
"0001104659-20-098409","C",20200825,1651239,"020-26816",NA,0,"","","Quadrant Biosciences Inc","Corporation","","DE","2015-03-13","505 IRVING AVENUE","SUITE 3100 A-B","SYRACUSE","NY","13210","https://www.quadrantbiosciences.com","Wefunder Portal LLC",1670254,"007-00033",283503
"0001104659-21-006448","C",20210122,1833532,"020-27495",NA,0,"","","Uroshape, LLC","Limited Liability Company","","FL","2010-01-20","767 Indian River Dr","","Melbourne","FL","32935","https://www.solatherapy.com","DALMORE GROUP LLC",1332099,"008-67002",136352
"0001104659-21-085566","C",20210625,1805018,"020-28304",NA,0,"","","Elemeno Health, Inc.","Corporation","","DE","2016-01-29","2910 Ford Street","","Oakland","CA","94601","https://www.elemenohealth.com","StartEngine Capital LLC",1665160,"007-00007",NA
"0001104659-22-079911","C",20220714,1769759,"020-30520",NA,0,"","","MONOGRAM ORTHOPAEDICS INC","Corporation","","DE","2016-04-21","3913 Todd Lane, Suite 307","","Austin","TX","78744","www.monogramorthopedics.com","DEALMAKER SECURITIES LLC",1872856,"008-70756",315324
"0001139685-17-000001","C",20171013,1139685,"020-23669",NA,0,"","","20/20 GeneSystems, Inc.","Corporation","","DE","2000-09-28","9430 Key West Ave.","","Rockville","MD","20850","www.2020gene.com","First Democracy VC",1683054,"007-00076",285360
"0001140361-21-005213","C",20210217,1836842,"020-27639",NA,0,"","","ATHR Beauty Co","Corporation","","DE","2019-02-25","299 South Main Street","Suite 1300","Salt Lake City","UT","84111","https://aetherbeautyco.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001144204-16-134497","C",20161115,1689582,"020-23064",NA,0,"","","StarringClaraBow, Inc.","Corporation",NA,"WY","2016-08-23","1712 Pioneer Avenue","Suite 1609","Cheyenne","WY","82001","www.starringclarabow.com","StartEngine Capital LLC",1665160,"007-00007",NA
"0001144204-16-135022","C",20161116,1450158,"020-23080",NA,0,"","","WORTHPOINT Corp","Corporation",NA,"DE","2007-01-16","5 Concourse Pkwy","Suite 2850","ATLANTA","GA","30328","www.worthpoint.com","NORTH CAPITAL PRIVATE SECURITIES CORPORATION",1496269,"008-68648",154559
"0001144204-19-040347","C",20190816,1741141,"020-25569",NA,0,"","","Blue World Voyages LLC","Limited Liability Company","","FL","2016-04-28","142 Sans Souci Drive","","Coral Gables","FL","33133","https://www.blueworldvoyages.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001174199-21-000004","C",20210812,1174199,"020-28557",NA,0,"","","KONING CORP","Corporation","","DE","2002-01-14","5555 OAKBROOK PARKWAY","SUITE 640","NORCROSS","GA","30093","https://www.koninghealth.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001193125-21-327931","C",20211112,1879942,"020-29168",NA,0,"","","Hawaiian Bros Inc.","Corporation","","DE","2021-07-11","720 Main Street","","Kansas City","MO","64105","https://hawaiianbros.com","OpenDeal Portal LLC dba Republic",1751525,"007-00167",283874
"0001193125-22-088286","C",20220329,1879942,"020-29951",NA,0,"","","Hawaiian Bros Inc.","Corporation","","DE","2021-07-11","720 Main Street","","Kansas City","MO","64105","https://hawaiianbros.com","OpenDeal Portal LLC dba Republic",1751525,"007-00167",283874
"0001213900-16-019667","C",20161223,1680084,"020-23121",NA,0,"","","Snapwire Media, Inc.","Corporation",NA,"DE","2012-08-03","3905 STATE STREET, SUITE 7-510","","SANTA BARBARA","CA","93105","www.snapwi.re","Wefunder Portal LLC",1670254,"007-00033",283503
"0001213900-17-005172","C",20170515,1706237,"020-23375",NA,0,"","","K-LAWYERS, INC.","Corporation","","DE","2016-02-11","3851","POINCIANA AVE","MAIMI","FL","33133","www.k-lawyers.com","StartEngine Capital LLC",1665160,"007-00007",NA
"0001213900-17-010600","C",20171016,1719193,"020-23676",NA,0,"","","YOPI TECHNOLOGIES INC","Corporation","","NJ","2017-06-25","One University Plaza","Suite 505","Hackensack","NJ","07601","www.yopitech.com","Wefunder Portal LLC",1670254,"007-00033",NA
"0001213900-18-013018","C",20180926,1753897,"020-24733",NA,0,"","","Dialogue Key, Inc.","Corporation","","WY","2017-08-22","9663 Santa Monica Blvd","Suite 688","Beverly Hills","CA","90210","http://dialoguekey.com/","Crowd Ignition",1694400,"007-00106",NA
"0001213900-20-003498","C",20200213,1802773,"020-26109",NA,0,"","","Steve's Gym LLC","Limited Liability Company","","DE","2019-01-31","2283 Market Street","","San Francisco","CA","94114","www.stevesgymllc.com","Wefunder Portal LLC",1670254,"007-00033",283503
"0001213900-20-004806","C",20200226,1804281,"020-26159",NA,0,"","","Viroment Capital, LLC","Limited Liability Company","","DE","2020-01-27","c/o Viroment USA, LLC","33 South 6th Street, Suite 4750","Minneapolis","MN","55402","www.viroment.com","Silicon Prairie Holdings Inc.",1711770,"007-00123",289746
"0001213900-20-007152","C",20200323,1759403,"020-26260",NA,0,"","","Work Hard Play Hard Train Hard, Inc.","Corporation","","DE","2018-10-17","9 East 16th Street","","New York","NY","10003","www.gritbxing.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001213900-20-015810","C",20200625,1814424,"020-26553",NA,0,"","","Westridge Capital, LLC","Limited Liability Company","","MN","2020-01-28","1331 LAKE DRIVE WEST","APT 115","CHANHASSEN","MN","55317","https://www.westridgerei.com/","Silicon Prairie Holdings Inc.",1711770,"007-00123",289746
"0001213900-21-009461","C",20210216,1845217,"020-27634",NA,0,"","","Assure Health Corp","Corporation","","DE","2020-05-29","4500 North State Road 7, Suite 102","","Lauderdale Lakes","FL","33319","www.myassurehealth.com","Equifund Crowd Funding Portal Inc.",1705665,"007-00115",288900
"0001213900-21-018234","C",20210329,1853657,"020-27868",NA,0,"","","Eysz, Inc.","Corporation","","DE","2018-05-31","107 Sandringham Rd.","","Piedmont","CA","94611","www.eyszlab.com","Bioverge Portal",1737940,"007-00157",5022636
"0001213900-21-024698","C",20210505,1851942,"020-28041",NA,0,"","","Spinal Surgical Strategies, Inc.","Corporation","","NV","2013-03-18","999 Driver Way","","Incline Village","NV","89451","http://www.kleinerlabs.com/","Equifund Crowd Funding Portal Inc.",1705665,"007-00115",288900
"0001213900-21-026121","C",20210513,1840100,"020-28089",NA,0,"","","Durango Gold Corp.","Corporation","","NV","2020-11-09","1 East Liberty Street, Suite 600","","Reno","NV","89501","www.durgold.com","Equifund Crowd Funding Portal Inc.",1705665,"007-00115",288900
"0001213900-21-027981","C",20210519,1833532,"020-28122",NA,0,"","","Uroshape, LLC","Limited Liability Company","","FL","2010-01-20","767 Indian River Dr","","Melbourne","FL","32935","https://www.solatherapy.com","Fundme.com",1683485,"007-00078",161785
"0001213900-21-028134","C",20210520,1849878,"020-28127",NA,0,"","","Clear Protocol, Inc,","Corporation","","CA","2016-05-11","16830 Ventura Blvd","Suite 360","Encino","CA","91436","www.ClearProtocol.com","Silicon Prairie Holdings Inc.",1711770,"007-00123",289746
"0001213900-21-036400","C",20210712,1855639,"020-28374",NA,0,"","","Circumvent Pharmaceuticals, Inc.","Corporation","","DE","2015-08-24","4640 SW Macadam Ave., Suite 200","","Portland","OR","87239","www.circumventpharmaceuticals.com","Bioverge Portal",1737940,"007-00157",5022636
"0001213900-21-061125","C",20211122,1580095,"020-29226",NA,0,"","","Black Rock Petroleum Co","Corporation","","NV","2013-03-29","1361 Peltier Drive","","Point Roberts","WA","98281","Blackrockdrilling.com","truCrowd",1667145,"007-00015",283063
"0001213900-22-036336","C",20220630,1924706,"020-30448",NA,0,"","","Beaver Gold Corp.","Corporation","","NV","2021-02-24","Four Embarcadero Center","Suite 1400","San Francisco","CA","94111","www.beavergold.com","Internal server error. CIK may be invalid.",1685995,"007-00083",286035
"0001213900-22-038940","C",20220713,1936361,"020-30506",NA,0,"","","Budding Technologies, Inc.","Corporation","","NV","2021-06-21","5457 5th Fairway Drive","","Hollywood","SC","29449","www.budbo.io","ARCVIEW CAPITAL",1792363,"008-70439",306029
"0001300306-22-000001","C",20220815,1300306,"020-30701",NA,0,"","","EMERGING HOLDINGS INC","Corporation","","NV","2004-07-01","10409 PACIFIC PALISADES AVE","","LAS VEGAS","NV","89144","www.emrhinc.com","truCrowd, Inc",1667145,"007-00015",283063
"0001410708-22-000007","C",20220815,1410708,"020-30700",NA,0,"","","Emo Capital Corp.","Corporation","","NV","2006-08-17","10409 PACIFIC PALISADES AVE","","LAS VEGAS","NV","89144","www.emrgt.com","truCrowd, Inc",1667145,"007-00015",283063
"0001421744-19-000001","C",20190322,1421744,"020-25262",NA,0,"","","Cytonics Corp","Corporation","","FL","2006-07-26","555 HERITAGE DRIVE","SUITE 115","JUPITER","FL","33458","https://cytonics.com/","SI SECURITIES, LLC",1603038,"008-69440",170937
"0001421744-22-000001","C",20220406,1421744,"020-30000",NA,0,"","","Cytonics Corp","Corporation","","FL","2006-07-26","658 W INDIANTOWN RD","SUITE 214","JUPITER","FL","33458-7535","https://www.cytonics.com","SI SECURITIES, LLC",1603038,"008-69440",170937
"0001445095-16-000005","C",20160823,1445095,"020-22974",NA,0,"","","ATMOCEAN INC","Corporation",NA,"DE","2006-01-09","1274 VALLECITA","","SANTA FE","NM","87501","https://atmocean.com/","TRUCROWD INC",1667145,"007-00015",NA
"0001445866-16-002207","C",20160524,1674833,"020-22864",NA,0,NA,"","G-RIDE INC.","Corporation",NA,"IL","2016-05-14","155 N. WACKER DR SUITE 1950","","CHICAGO","IL","60606","www.gogride.com","TRUCROWD INC",1667145,"007-00015",NA
"0001445866-16-002753","C",20161014,1674374,"020-23027",NA,0,"","","Daplie, Inc.","Corporation",NA,"UT","2015-08-12","203 WEST CENTER STREET #15","","PLEASANT GROVE","UT","84062","https://daplie.com","Wefunder Portal LLC",1670254,"007-00033",283503
"0001445866-17-000123","C",20170206,1696377,"020-23207",NA,0,"","","SLICK TECHNOLOGIES, CORP.","Corporation","","DE","2015-08-31","1663 EL DORADO AVE","","SANTA CRUZ","CA","95062","https://www.slick.video","DreamFunded MarketPlace, LLC",1670761,"007-00037",6639970
"0001445866-17-001230","C",20170816,1714631,"020-23539",NA,0,"","","365 West 10th Street, Inc.","Corporation","","DE","2017-08-11","16299 FOOTHILL BLVD","","FONTANA","CA","92335","365 West 10th Street, Inc.","DreamFunded MarketPlace, LLC",1670761,"007-00037",6639970
"0001445866-20-001267","C",20200824,1792706,"020-26810",NA,0,"","","SmartSoda Holdings, Inc.","Corporation","","DE","2019-02-15","25700 SCIENCE PARK DRIVE","SUITE 370","BEACHWOOD","OH","44122","https://www.smartsodagroup.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001461859-20-000022","C",20200901,1808913,"020-26881",NA,0,"","","Renewal Mill, PBC","Corporation","","DE","2016-06-09","561 BAKER STREET","6","SAN FRANCISCO","CA","94117","www.renewalmill.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001465818-19-000035","C",20191211,1617797,"020-25928",NA,0,"","","Story to College, LLC","Limited Liability Company","","DE","2014-07-31","1441 Broadway, Suite 6063","","NEW YORK","NY","10018","http://story2.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001477932-20-003814","C",20200708,1817102,"020-26609",NA,0,"","","Drop Technologies Inc.","Corporation","","CA","2019-06-14","2554 LINCOLN BLVD. #405","","VENICE","CA","90291","www.dropdelivery.com","Equifund Crowd Funding Portal Inc.",1705665,"007-00115",NA
"0001477932-21-000410","C",20210125,1835868,"020-27509",NA,0,"","","Kiddie, Inc.","Corporation","","FL","2020-08-06","3525 GRIFFIN ROAD","","FT. LAUDERDALE","FL","33312","www.kiddierx.com","Fundme.com, Inc.",1683485,"007-00078",2344863
"0001477932-22-002385","C",20220415,1922591,"020-30042",NA,0,"","","Synergy Health Network Inc","Corporation","","DE","2021-11-12","1990 MAIN STREET","SUITE 750","SARASOTA","FL","34236","https://www.synergyhealthdpc.com","RIALTO MARKETS LLC",1670539,"008-69756",283477
"0001477932-22-004991","C",20220713,1714989,"020-30510",NA,0,"","","Wink Robotics, Inc.","Corporation","","DE","2017-06-14","5418 COLLEGE AVE","","OAKLAND","CA","94618","https://www.luumlash.com/","DEALMAKER SECURITIES LLC",1872856,"008-70756",315324
"0001477932-22-006400","C",20220823,1815146,"020-30769",NA,0,"","","Aeroponics Integrated Systems Inc.","Corporation","","CA","2018-10-18","1511 W COWLES ST.","","LONG BEACH","CA","90813","www.Aerobloom.com","Equifund Crowd Funding Portal Inc.",1705665,"007-00115",288900
"0001491281-21-000001","C",20210917,1491281,"020-28777",NA,0,"","","DC Brau Brewing LLC","Limited Liability Company","","DE","2009-10-20","3178-B BLADENSBURG RD. NE","","WASHINGTON","DC","20018","https://dcbrau.com","SMBX, Inc.",1707214,"007-00129",290186
"0001493152-17-012106","C",20171026,1639718,"020-23701",NA,0,"","","Roomi Inc.","Corporation","","DE","2013-04-17","33 Irving Place","","New York","NY","10003","rommiapp.com","OpenDeal Inc., dba Republic",1672732,"007-00046",283874
"0001496634-19-000002","C",20190807,1496634,"020-25546",NA,0,"","","Private Health Management, Inc.","Corporation","","CA","2007-03-09","9200 SUNSET BLVD., SUITE 110","","LOS ANGELES","CA","90069","https://www.privatehealth.com","SI SECURITIES, LLC",1603038,"008-69440",170937
"0001497130-21-000006","C",20210927,1497130,"020-28829",NA,0,"","","Nano Mobile Healthcare, Inc.","Corporation","","NV","2015-01-09","ONE BOSTON PLACE,","SUITE 2600","BOSTON","MA","62108","www.vnthotc.com","truCrowd, Inc",1667145,"007-00015",283063
"0001502880-20-000002","C",20200828,1502880,"020-26842",NA,0,"","","Virtual World Computing, LLC","Limited Liability Company","","CA","2008-01-22","5425 Hollister Ave.","160","Santa Barbara","CA","93111","https://trycocoon.com/","Funders USA, Inc.",1780510,"007-00210",306506
"0001509693-21-000002","C",20210629,1864270,"020-28321",NA,0,"","","IzMaCo Investments LLC","Limited Liability Company","","VA","2019-02-27","191 WHITE OAK BLUFF RD.","","STELLA","NC","28582","www.izmaco.com","JUMPSTART SECURITIES, LLC",1509693,"008-68773",156214
"0001517560-17-000006","C",20170811,1517560,"020-23529",NA,0,"","","Geostellar, Inc.","Corporation","","DE","2010-02-22","224 WEST KING STREET","","MARTINSBURG","WV","25401","https://geostellar.com/","OpenDeal Inc.",1672732,"007-00046",NA
"0001517990-21-000004","C",20210927,1517990,"020-28831",NA,0,"","","Maxwell Resources, Inc.","Corporation","","NV","2019-07-11","Lv35 Gas Company Tower","555 W5th Street,","Los Angeles","CA","90017","https://blaqclouds.com","truCrowd, Inc",1667145,"007-00015",283063
"0001520512-22-000001","C",20220114,1520512,"020-29530",NA,0,"","","il2m INTERNATIONAL CORP.","Corporation","","NV","2010-06-08","3500 WEST OLIVE AVENUE","SUITE 810","BURBANK","CA","91505","www.nwtechcapital.us/","truCrowd, Inc",1667145,"007-00015",283063
"0001522456-17-000003","C",20170531,1522456,"020-23408",NA,0,"","","Richard Garriott de Cayeux","Corporation","","DE","2009-09-24","3410 Far West Blvd","Suite 275","Austin","TX","78731","www.shroudoftheavatar.com","SeedInvest, LLC",1603038,"008-69440",170937
"0001525852-22-000001","C",20220810,1525852,"020-30672",NA,0,"","","BOTS, Inc./PR","Corporation","","PR","2020-05-15","1064 AVE PONCE DE LEON","SUITE 200","SAN JUAN","PR","00907","www.Bots.BZ","truCrowd, Inc",1667145,"007-00015",283063
"0001532978-21-000001","C",20210315,1532978,"020-27789",NA,0,"","","Gumroad, Inc.","Corporation","","DE","2011-09-22","548 Market Street","#41309","San Francisco","CA","94104","http://gumroad.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001533849-20-000001","C",20200701,1533849,"020-26592",NA,0,"","","Oscilla Power Inc.","Corporation","","DE","2009-08-06","4240 Gilman Place West","Unit C","Seattle","WA","98199","www.oscillapower.com","MicroVenture Marketplace Inc.",1478147,"008-68458",152513
"0001533849-20-000008","C",20201223,1533849,"020-27388",NA,0,"","","Oscilla Power, Inc.","Corporation","","DE","2009-08-06","4240 GILMAN PLACE WEST","UNIT C","SEATTLE","WA","98199","WWW.OSCILLAPOWER.COM","MICROVENTURE MARKETPLACE INC.",1478147,"008-68458",152513
"0001554477-19-000002","C",20190701,1554477,"020-25466",NA,0,"","","Thuzio, Inc.","Corporation","","DE","2011-12-12","267 FIFTH AVENUE","7TH FLOOR","NEW YORK","NY","10016","https://www.thuzio.com/","SI SECURITIES, LLC",1603038,"008-69440",170937
"0001554477-20-000002","C",20200212,1554477,"020-26100",NA,0,"","","Thuzio, Inc.","Corporation","","DE","2011-12-12","114 W. 26TH STREET","5TH FLOOR","NEW YORK","NY","10001","https://www.thuzio.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001556917-20-000009","C",20201013,1556917,"020-27037",NA,0,"","","Berrett-Koehler Group, Inc.","Corporation","","CA","1998-11-10","1333 BROADWAY","SUITE 1000","OAKLAND","CA","94612","www.bkconnection.com","MiTec, PBC",1690300,"007-00133",292759
"0001557286-17-000006","C",20170609,1557286,"020-23417",NA,0,"","","Napa Valley Limoncello Co, LLC","Limited Liability Company","","CA","2009-02-13","2485 Stockton Steet","","Napa","CA","94559","napadistillery.com","First Democracy VC",1683054,"007-00076",285360
"0001562529-20-000005","C",20201222,1562529,"020-27377",NA,0,"","","SnapDNA Corp","Corporation","","DE","2011-04-19","897 INDEPENDENCE AVE, #2C","","MOUNTAIN VIEW","CA","94043","http://snapdna.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001568609-18-000003","C",20180605,1568609,"020-24343",NA,0,"","","Cuddle Clones LLC","Limited Liability Company","","KY","2010-09-20","624 W. Main St.","3rd Floor","Louisville","KY","40202","www.cuddleclones.com","First Democracy VC",1683054,"007-00076",285360
"0001571942-21-000003","C",20210716,1571942,"020-28410",NA,0,"","","Maine Craft Distilling LLC","Limited Liability Company","","ME","2012-01-26","123 WASHINGTON AVE, #4","","PORTLAND","ME","04101","https://mainecraftdistilling.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001574738-18-000001","C",20180216,1574738,"020-23991",NA,0,"","","FileThis, Inc.","Corporation","","DE","2010-04-21","351 JEAN STREET","","MILL VALLEY","CA","94941","filethis.com","SI SECURITIES, LLC",1603038,"008-69440",170937
"0001574863-21-000002","C",20210818,1574863,"020-28591",NA,0,"","","Drone Guarder, Inc.","Corporation","","NV","2012-05-04","370 Amapola Ave","Unit 200A","Torrance","CA","90501","www.droneguarderinc.com","truCrowd, Inc",1667145,"007-00015",283063
"0001579693-18-000003","C",20180613,1579693,"020-24365",NA,0,"","","Paul Evans LLC","Limited Liability Company","","NY","2012-05-07","435 W. 57TH STREET 12P","","NEW YORK","NY","10019","https://www.paulevansny.com","SI SECURITIES, LLC",1603038,"008-69440",170937
"0001580960-18-000001","C",20180209,1580960,"020-23980",NA,0,"","","Pigeonly, Inc.","Corporation","","DE","2013-06-18","701 Bridger Ave, Suite 690","","LAS VEGAS","NV","89101","www.pigeon.ly","OpenDeal Inc. dba &quot;Republic&quot;",1672732,"007-00046",283874
