"ACCESSION_NUMBER","SUBMISSION_TYPE","FILING_DATE","CIK","FILE_NUMBER","PERIOD","ISAMENDMENT","PROGRESSUPDATE","NATUREOFAMENDMENT","NAMEOFISSUER","LEGALSTATUSFORM","LEGALSTATUSOTHERDESC","JURISDICTIONORGANIZATION","DATEINCORPORATION","STREET1","STREET2","CITY","STATEORCOUNTRY","ZIPCODE","ISSUERWEBSITE","COMPANYNAME","COMMISSIONCIK","COMMISSIONFILENUMBER","CRDNUMBER"
"0001665160-17-000567","C",20171109,1717074,"020-23750",NA,0,"","","YE US, Inc.","Corporation","","DE","2016-07-11","17/2 Yervand Kochar St","","Yerevan","1B","0070","www.yecup.org","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000571","C",20171109,1721429,"020-23752",NA,0,"","","BioHealthonomics Inc.","Corporation","","CA","2011-07-25","810 California Avenue","Suite 100","Santa Monica","CA","90403","http://biohealthonomics.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000574","C",20171109,1722197,"020-23756",NA,0,"","","Indeco, LLC","Limited Liability Company","","DE","2017-09-25","8 the Green","Suite 7111","Dover","DE","19901","https://ind.eco/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000578","C",20171113,1721124,"020-23758",NA,0,"","","LoveBug Nutrition Inc.","Corporation","","NY","2014-10-03","115 E 34th Street","Suite 1506","New York","NY","10156","https://www.lovebugprobiotics.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000592","C",20171116,1701370,"020-23771",NA,0,"","","Zoi, Inc.","Corporation","","DE","2017-01-06","611 N. Commonwealth Ave","","Los Angeles","CA","90004","www.whatiszoi.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000595","C",20171117,1720044,"020-23778",NA,0,"","","Waverly Labs Inc.","Corporation","","DE","2014-06-16","19 Morris Avenue","","Brooklyn","NY","11205","www.waverlylabs.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000598","C",20171117,1721907,"020-23783",NA,0,"","","HireJoe, Inc.","Corporation","","CO","2017-09-05","2525 Arapahoe Ave.","Ste E4-242","Boulder","CO","80302","www.hirejoe.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000601","C",20171117,1721278,"020-23785",NA,0,"","","WangleSpace LLC","Limited Liability Company","","AZ","2017-09-01","4008 E Lariat Lane","","Phoenix","AZ","85050","http://wanglespace.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000604","C",20171120,1721835,"020-23790",NA,0,"","","Kerrington Home Inc","Corporation","","MN","2017-09-27","3100 Ariel St. N. #219","","Maplewood","MN","55109","https://www.kerringtonhome.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000607","C",20171120,1722986,"020-23795",NA,0,"","","15th Round, LLC","Limited Liability Company","","CA","2017-08-18","3630 San Fernando Rd.","","Glendale","CA","91204","www.15throundboxing.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000612","C",20171120,1721827,"020-23797",NA,0,"","","Sun Fund Renewables Inc.","Corporation","","DE","2017-09-09","185 Plains Road","Suite 100E","Milford","CT","06461","http://www.sun.fund","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000616","C",20171121,1723082,"020-23804",NA,0,"","","Farm.One, Inc.","Corporation","","DE","2015-12-08","15 William Street","Apt 14B","New York","NY","10005","http://farm.one","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000619","C",20171121,1660948,"020-23806",NA,0,"","","BOXX Corp","Corporation","","DE","2015-05-26","18160 Cottonwood Rd. #229","","Sunriver","OR","97707","www.boxxcorp.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000625","C",20171122,1722316,"020-23810",NA,0,"","","Biotech Restorations Holdings, LLC","Limited Liability Company","","FL","2017-02-02","137 Cross Creek Road #137","","Denver","NC","26037","http://www.biotechrestorations.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000627","C",20171122,1722316,"020-23811",NA,0,"","","Biotech Restorations Holdings, LLC","Limited Liability Company","","FL","2017-02-02","137 Cross Creek Road #137","","Denver","NC","26037","http://www.biotechrestorations.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000629","C",20171122,1723324,"020-23813",NA,0,"","","LRF Thoroughbred Fund II, LLC","Limited Liability Company","","CA","2017-08-28","5950 Canoga Ave","Suite 510","Woodland Hills","CA","91367","http://www.littleredfeather.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000634","C",20171122,1723233,"020-23815",NA,0,"","","Vernuco inc. DBA Kordas Co.","Corporation","","NJ","2010-01-11","244 5th Ave, suite 2421","","New York","NY","10001","https://kordasco.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000638","C",20171127,1721304,"020-23818",NA,0,"","","Phoenix Settlements LLC DBA Emergent Solar Solutions","Limited Liability Company","","AZ","2013-08-02","3302 E Indian School Road","","Phoenix","AZ","85018","https://www.emergentsolar.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000641","C",20171127,1707732,"020-23820",NA,0,"","","BIKEKINI (NORTH AMERICA) LLC","Limited Liability Company","","FL","2015-10-28","4040 8th lane","Vero Beach Florida","Vero Beach","FL","32960","https://www.bikekini.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000645","C",20171128,1722030,"020-23823",NA,0,"","","Cryptid LLC","Limited Liability Company","","DE","2017-09-05","130 Bay Ridge Parkway","APT 2D","Brooklyn","NY","11209","www.cryptidmovie.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000649","C",20171128,1654348,"020-23826",NA,0,"","","General Presence Inc.","Corporation","","DE","2011-02-28","26 Westminster Avenue Unit 4","","Venice","CA","90291","https://zenvideo.co","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000653","C",20171129,1721305,"020-23828",NA,0,"","","Jinglz, Inc.","Corporation","","FL","2017-03-09","10802 Lake Wynds Court","","Boynton Beach","FL","33437","https://www.playjinglz.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000658","C",20171201,1724085,"020-23831",NA,0,"","","The Green Retrofit","Corporation","","CA","2017-10-04","23010 Compass Drive","","Canyon Lake","CA","92587","www.TheGreenRetrofit.com","StartEngine Capital, LLC",1665160,"007-00007",NA
